# Revision 1.0,13-Feb-14,Initial release,,,,,,,,,,
# Revision 1.1,14-May-14,"Added csfBGA256, csfBGA324, caBGA324, caBGA400 packages",,,,,,,,,,
# Revision 1.2,12-Sep-14,New csfBGA pinouts,,,,,,,,,,
,,,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,CABGA256,CABGA400,CABGA324,CSFBGA324,CSFBGA256
241,PB32D,2,-,Comp_OF_PB32C,-,,+,-,R13,-,-,-
242,PB34C,2,-,True_OF_PB34D,-,,+,-,V15,-,-,-
243,VCCIO2,2,-,-,-,,+,-,-,-,-,-
244,PB34D,2,-,Comp_OF_PB34C,-,,+,-,V16,-,-,-
245,PB34A,2,-,True_OF_PB34B,-,,+,R13,V14,U14,T6,R3
246,VCCIO2,2,-,-,-,,+,-,-,-,-,-
247,PB34B,2,-,Comp_OF_PB34A,-,,+,T14,U14,V15,M7,T3
248,PB35A,2,-,True_OF_PB35B,-,,+,R11,Y18,U15,V5,M6
249,VCCIO2,2,-,-,-,,+,-,-,-,-,-
250,NC,-,-,-,-,,+,-,-,-,-,-
251,PB35B,2,-,Comp_OF_PB35A,-,,+,T12,W18,V16,U5,N6
252,PB35C,2,-,True_OF_PB35D,-,,+,-,T14,P12,T5,-
253,VCC,-,-,-,-,,+,-,-,-,-,-
254,PB35D,2,-,Comp_OF_PB35C,-,,+,-,U15,R14,R6,-
255,PB37A,2,-,True_OF_PB37B,-,,+,P12,Y19,T15,V4,R2
256,VCC,-,-,-,-,,+,-,-,-,-,-
257,PB37B,2,-,Comp_OF_PB37A,-,,+,T13,W19,T16,U4,T2
258,PB37C,2,-,True_OF_PB37D,-,,+,-,P14,R13,R5,-
259,GND,-,-,-,-,,-,-,-,-,-,-
260,PB37D,2,-,Comp_OF_PB37C,-,,-,-,R14,R15,T4,-
261,NC,-,-,-,-,,-,-,-,-,-,-
262,PB38A,2,SN,True_OF_PB38B,-,,-,R12,Y20,U16,V3,M5
263,VCCIO2,2,-,-,-,,-,-,-,-,-,-
264,PB38B,2,SI/SISPI,Comp_OF_PB38A,-,,-,P13,W20,V17,U3,N5
265,PB38C,2,-,True_OF_PB38D,-,,-,T15,T16,P13,V2,P5
266,NC,-,-,-,-,,-,-,-,-,-,-
267,GND,-,-,-,-,,+,-,-,-,-,-
268,PB38D,2,-,Comp_OF_PB38C,-,,+,R14,R15,P14,U2,P4
269,VCC,-,-,-,-,,+,-,-,-,-,-
270,PR25D,1,-,Comp_OF_PR25C,-,,-,R16,V17,T17,T3,N4
271,GND,-,-,-,-,,+,-,-,-,-,-
272,PR25B,1,-,Comp_OF_PR25A,-,,+,-,T17,U18,U1,-
273,PR25C,1,-,True_OF_PR25D,-,,+,P15,U17,R16,T2,P3
274,VCCIO1,1,-,-,-,,+,-,-,-,-,-
275,PR25A,1,-,True_OF_PR25B,-,,+,-,V19,P15,T1,-
276,PR24D,1,-,Comp_OF_PR24C,-,,+,-,R16,N14,R4,-
277,GND,-,-,-,-,,-,-,-,-,-,-
278,PR24B,1,-,Comp_OF_PR24A,-,,-,N14,U18,T18,R2,M4
279,PR24C,1,-,True_OF_PR24D,-,,-,-,P15,R17,R3,-
280,VCC,-,-,-,-,,-,-,-,-,-,-
281,PR24A,1,-,True_OF_PR24B,-,,-,N16,R17,P16,R1,N3
282,PR23D,1,-,Comp_OF_PR23C,-,,-,P16,N14,M13,P5,P2
283,VCCIO1,1,-,-,-,,-,-,-,-,-,-
284,PR23B,1,-,Comp_OF_PR23A,-,,-,M15,P16,N15,N6,N2
285,PR23C,1,-,True_OF_PR23D,-,,-,N15,N15,R18,P6,R1
286,VCCIO1,1,-,-,-,,-,-,-,-,-,-
287,PR23A,1,-,True_OF_PR23B,-,,-,M14,V20,P17,N5,M3
288,PR22D,1,-,Comp_OF_PR22C,-,,-,-,U19,N16,P4,-
289,GND,-,-,-,-,,+,-,-,-,-,-
290,PR22B,1,-,Comp_OF_PR22A,-,,+,-,P17,P18,P2,-
291,PR22C,1,-,True_OF_PR22D,-,,+,-,T18,M14,P3,-
292,GND,-,-,-,-,,-,-,-,-,-,-
293,PR22A,1,-,True_OF_PR22B,-,,-,-,U20,M15,P1,-
294,PR21D,1,-,Comp_OF_PR21C,-,,-,L13,T19,N17,N4,L4
295,VCCIO1,1,-,-,-,,-,-,-,-,-,-
296,PR21B,1,-,Comp_OF_PR21A,-,,-,M16,R19,N18,N2,P1
297,PR21C,1,-,True_OF_PR21D,-,,-,K11,T20,L14,N3,L3
298,GND,-,-,-,-,,+,-,-,-,-,-
299,PR21A,1,-,True_OF_PR21B,-,,+,L15,N16,M17,N1,N1
300,PR19D,1,-,Comp_OF_PR19C,-,,+,K12,M14,M18,M5,L5
301,GND,-,-,-,-,,-,-,-,-,-,-
302,PR19B,1,-,Comp_OF_PR19A,-,,-,-,R20,-,-,-
303,PR19C,1,-,True_OF_PR19D,-,,-,K13,M15,L18,M4,K4
304,VCCIO1,1,-,-,-,,-,-,-,-,-,-
305,PR19A,1,-,True_OF_PR19B,-,,-,-,P18,-,-,-
306,PR18D,1,-,Comp_OF_PR18C,-,,-,-,P19,-,-,-
307,GND,-,-,-,-,,+,-,-,-,-,-
308,PR18B,1,-,Comp_OF_PR18A,-,,+,L14,N17,M16,M3,M2
309,PR18C,1,-,True_OF_PR18D,-,,+,-,P20,-,-,-
310,VCC,-,-,-,-,,+,-,-,-,-,-
311,PR18A,1,-,True_OF_PR18B,-,,+,L16,N18,L17,L5,M1
312,PR17D,1,-,Comp_OF_PR17C,-,,+,L12,N19,L13,L4,K3
313,VCC,-,-,-,-,,+,-,-,-,-,-
314,PR17B,1,-,Comp_OF_PR17A,-,,+,K15,N20,L16,M2,L1
315,PR17C,1,-,True_OF_PR17D,-,,+,J11,M16,L15,L3,L2
316,VCCIO1,1,-,-,-,,+,-,-,-,-,-
317,PR17A,1,-,True_OF_PR17B,-,,+,K14,M17,K18,M1,K2
318,PR16D,1,-,Comp_OF_PR16C,-,,+,J13,M18,K13,K5,J3
319,VCCIO1,1,-,-,-,,+,-,-,-,-,-
320,PR16B,1,-,Comp_OF_PR16A,-,,+,K16,M19,K17,L2,K1
321,PR16C,1,-,True_OF_PR16D,-,,+,H11,L16,K12,K4,J4
322,GND,-,-,-,-,,-,-,-,-,-,-
323,PR16A,1,-,True_OF_PR16B,-,,-,J15,M20,K16,L1,J1
324,PR15D,1,-,Comp_OF_PR15C,-,,-,-,L15,-,-,-
325,VCC,-,-,-,-,,-,-,-,-,-,-
326,PR15B,1,-,Comp_OF_PR15A,-,,-,J14,L20,J18,K3,J2
327,PR15C,1,-,True_OF_PR15D,-,,-,-,L14,-,-,-
328,VCCIO1,1,-,-,-,,-,-,-,-,-,-
329,PR15A,1,-,True_OF_PR15B,-,,-,J16,L19,K14,K2,H1
330,PR12D,1,-,Comp_OF_PR12C,-,,-,-,L17,-,-,-
331,GND,-,-,-,-,,+,-,-,-,-,-
332,PR12B,1,PCLKC1_0,Comp_OF_PR12A,-,,+,H16,K20,K15,K1,G1
333,PR12C,1,-,True_OF_PR12D,-,,+,-,K16,-,-,-
334,NC,-,-,-,-,,+,-,-,-,-,-
335,PR12A,1,PCLKT1_0,True_OF_PR12B,-,,+,H14,K19,H18,J1,H2
336,NC,-,-,-,-,,+,-,-,-,-,-
337,PR11D,1,-,Comp_OF_PR11C,-,,+,J12,K18,J12,J5,H3
338,VCCIO1,1,-,-,-,,+,-,-,-,-,-
339,PR11B,1,-,Comp_OF_PR11A,-,,+,H15,J20,J17,J3,F1
340,PR11C,1,-,True_OF_PR11D,-,,+,H13,K17,J14,J4,H4
341,VCC,-,-,-,-,,+,-,-,-,-,-
342,PR11A,1,-,True_OF_PR11B,-,,+,G16,J19,J16,J2,G2
343,PR10D,1,-,Comp_OF_PR10C,-,,+,H12,K15,G18,H3,F2
344,NC,-,-,-,-,,+,-,-,-,-,-
345,PR10B,1,-,Comp_OF_PR10A,-,,+,-,J16,-,-,-
346,PR10C,1,-,True_OF_PR10D,-,,+,G11,K14,J13,H4,E1
347,GND,-,-,-,-,,-,-,-,-,-,-
348,PR10A,1,-,True_OF_PR10B,-,,-,-,J18,-,-,-
349,PR9D,1,-,Comp_OF_PR9C,-,,-,-,H20,-,-,-
350,GND,-,-,-,-,,+,-,-,-,-,-
351,PR9B,1,-,Comp_OF_PR9A,-,,+,G14,H19,H17,H2,G3
352,PR9C,1,-,True_OF_PR9D,-,,+,-,J17,-,-,-
353,VCCIO1,1,-,-,-,,+,-,-,-,-,-
354,PR9A,1,-,True_OF_PR9B,-,,+,G15,H18,J15,H1,G4
355,PR8D,1,-,Comp_OF_PR8C,-,,+,-,G20,F18,H5,-
356,VCCIO1,1,-,-,-,,+,-,-,-,-,-
357,PR8B,1,-,Comp_OF_PR8A,-,,+,-,H17,G17,G2,-
358,PR8C,1,-,True_OF_PR8D,-,,+,-,H16,H16,G3,-
359,GND,-,-,-,-,,-,-,-,-,-,-
360,PR8A,1,-,True_OF_PR8B,-,,-,-,G19,E18,G1,-
